Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_06015001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2023","3.00000000","94.79000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","3","ARE_ES1102_7_LTO_H_daysAbove_2023","No","ZON_ES1102","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2023","45.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","22","ARE_ES0513_5_LV_H_daysAbove_2023","No","ZON_ES0513","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2023","40.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","9","ARE_ES0504_5_LV_H_daysAbove_2023","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2023","45.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","57","ARE_ES0510_5_LV_H_daysAbove_2023","No","ZON_ES0510","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_CIEMAT_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2023","31.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","7","ARE_ES0724_7_LTO_H_daysAbove_2023","No","ZON_ES0724","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2023","1.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","4","ARE_ES1223_7_LTO_H_daysAbove_2023","No","ZON_ES1223","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_06070001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2023","79.00000000","94.79000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","79","ARE_ES1104_7_LTO_H_daysAbove_2023","No","ZON_ES1104","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07032003_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2023","4.00000000","98.08000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","15","ARE_ES0409_7_LTO_H_daysAbove_2023","No","ZON_ES0409","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08137001_14_6","O3","Ozone (air)","AOT40c-P5Y","AOT40 vegetation protection averaged over 5 years","2023","20654.00000000","96.92000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","18000","true","true","20654","ARE_ES0908_7_TV_V_AOT40c-5yr_2023","No","ZON_ES0908","Vegetation","Target Value (TV)","AOT40 vegetation protection averaged over 5 years","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2023","43.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","58","ARE_ES0508_5_LV_H_daysAbove_2023","No","ZON_ES0508","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
