Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","3.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","false","0","ARE_ES1206_7_LTO_H_daysAbove_2022","No","ZON_ES1206","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","2.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","2","ARE_ES1205_7_LTO_H_daysAbove_2022","No","ZON_ES1205","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2022","45.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","62","ARE_ES0511_5_LV_H_daysAbove_2022","No","ZON_ES0511","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","4.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","7","ARE_ES1220_7_LTO_H_daysAbove_2022","No","ZON_ES1220","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","1.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","false","0","ARE_ES1204_7_LTO_H_daysAbove_2022","No","ZON_ES1204","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2022","57.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","10","ARE_ES0504_5_LV_H_daysAbove_2022","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","4.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","13","ARE_ES1222_7_LTO_H_daysAbove_2022","No","ZON_ES1222","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","3.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","4","ARE_ES1221_7_LTO_H_daysAbove_2022","No","ZON_ES1221","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2022","44.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","5","ARE_ES0501_5_LV_H_daysAbove_2022","No","ZON_ES0501","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2022","54.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","66","ARE_ES0513_5_LV_H_daysAbove_2022","No","ZON_ES0513","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2022","45.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","17","ARE_ES0511_5_LV_H_daysAbove_2022","No","ZON_ES0511","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","1.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","false","0","ARE_ES1219_7_LTO_H_daysAbove_2022","No","ZON_ES1219","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2022","1.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","true","1","ARE_ES1224_7_LTO_H_daysAbove_2022","No","ZON_ES1224","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
