Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Modelling","Model","MOD_ES_CIEMAT_O3_V_LTO_AOT40c","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2021","6232.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","ug.m-3","6000","true","false","4969","ARE_ES0309_7_LTO_V_AOT40c_2021","No","ZON_ES0309","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_28102001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2021","27.00000000","98.90000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","27","ARE_ES1313_7_LTO_H_daysAbove_2021","No","ZON_ES1313","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03066003_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2021","4.00000000","99.45000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","4","ARE_ES1014_7_LTO_H_daysAbove_2021","No","ZON_ES1014","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07054001_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2021","11153.00000000","99.00000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","11153","ARE_ES0411_7_LTO_V_AOT40c_2021","No","ZON_ES0411","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_26117001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2021","1.00000000","98.90000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","9","ARE_ES1705_7_LTO_H_daysAbove_2021","No","ZON_ES1705","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2021","37.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","4","ARE_ES0504_5_LV_H_daysAbove_2021","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2021","38.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","12","ARE_ES0513_5_LV_H_daysAbove_2021","No","ZON_ES0513","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Modelling","Model","MOD_ES_METEO_GALICIA_O3_H_LTO_daysAbove","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2021","1.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","0","true","false","0","ARE_ES1223_7_LTO_H_daysAbove_2021","No","ZON_ES1223","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_12126003_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2021","7548.00000000","98.46000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","16519","ARE_ES1005_7_LTO_V_AOT40c_2021","No","ZON_ES1005","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_18021001_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2021","17706.00000000","92.12000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","17706","ARE_ES0118_7_LTO_V_AOT40c_2021","No","ZON_ES0118","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
