Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Fixed measurement,Sampling Point,SP_28127004_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2024,11363.0,96.92,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,27477.0,ARE_ES1310_7_LTO_V_AOT40c_2024,No,ZON_ES1310,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,718387.0,URBANA NOROESTE,11.09096687238971
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,12.0,ARE_ES0504_5_LV_H_daysAbove_2024,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,6.995153009156505
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,38.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,29.0,ARE_ES0511_5_LV_H_daysAbove_2024,No,ZON_ES0511,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,366573.0,STA. CRUZ DE TENERIFE-S. CRISTOBAL DE LA LAGUNA,6.041088514374838
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,38.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,49.0,ARE_ES0501_5_LV_H_daysAbove_2024,No,ZON_ES0501,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,378675.0,LAS PALMAS DE GRAN CANARIA,6.056403774151802
Spain,Fixed measurement,Sampling Point,SP_23050004_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2024,24465.0,94.24,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,24465.0,ARE_ES0122_7_TV_V_AOT40c-5yr_2024,No,ZON_ES0122,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,622038.0,NUEVA ZONA DE NUCLEOS DE 50.000 A 250.000 HABITANTES,7.874762825459713
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,53.0,ARE_ES0504_5_LV_H_daysAbove_2024,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,6.995153009156505
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,39.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,29.0,ARE_ES0508_5_LV_H_daysAbove_2024,No,ZON_ES0508,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,116412.0,"LA PALMA, LA GOMERA Y EL HIERRO",5.644968922134094
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,38.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,65.0,ARE_ES0511_5_LV_H_daysAbove_2024,No,ZON_ES0511,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,366573.0,STA. CRUZ DE TENERIFE-S. CRISTOBAL DE LA LAGUNA,6.041088514374838
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2024,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,12.0,ARE_ES0504_5_LV_H_daysAbove_2024,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,6.995153009156505
Spain,Fixed measurement,Sampling Point,SP_06016999_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2024,6972.0,98.91,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,17024.0,ARE_ES1104_7_LTO_V_AOT40c_2024,No,ZON_ES1104,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,617638.0,EXTREMADURA RURAL,6.728832917287345
