Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Modelling,Model,MOD_ES_CIEMAT_O3_V_LTO_AOT40c,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,6232.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,ug.m-3,6000.0,True,False,4969.0,ARE_ES0309_7_LTO_V_AOT40c_2021,No,ZON_ES0309,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,278230.0,AREA GIJON,5.654920908705201
Spain,Fixed measurement,Sampling Point,SP_07054001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,11153.0,99.0,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,11153.0,ARE_ES0411_7_LTO_V_AOT40c_2021,No,ZON_ES0411,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,52148.0,EIVISSA,8.768558597815838
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2021,37.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,4.0,ARE_ES0504_5_LV_H_daysAbove_2021,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,5.751570251973126
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2021,38.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,12.0,ARE_ES0513_5_LV_H_daysAbove_2021,No,ZON_ES0513,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323447.0,SUR DE TENERIFE,5.982071966864099
Spain,Fixed measurement,Sampling Point,SP_12126003_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,7548.0,98.46,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,16519.0,ARE_ES1005_7_LTO_V_AOT40c_2021,No,ZON_ES1005,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,142783.0,PALANCIA-JAVALAMBRE. AREA COSTERA,6.484583040319096
Spain,Fixed measurement,Sampling Point,SP_18021001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,17706.0,92.12,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,17706.0,ARE_ES0118_7_LTO_V_AOT40c_2021,No,ZON_ES0118,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,507956.0,GRANADA Y AREA METROPOLITANA,16.83789280515662
Spain,Fixed measurement,Sampling Point,SP_07042001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,6321.0,98.19,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,19617.0,ARE_ES0413_7_LTO_V_AOT40c_2021,No,ZON_ES0413,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,468906.0,RESTO MALLORCA,5.974488879653711
Spain,Modelling,Model,MOD_ES_CIEMAT_O3_V_LTO_AOT40c,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,9149.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,ug.m-3,6000.0,True,False,4969.0,ARE_ES0307_7_LTO_V_AOT40c_2021,No,ZON_ES0307,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,123963.0,AVILES,7.766421536868556
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2021,38.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,48.0,ARE_ES0513_5_LV_H_daysAbove_2021,No,ZON_ES0513,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323447.0,SUR DE TENERIFE,5.982071966864099
Spain,Fixed measurement,Sampling Point,SP_08202001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,11102.0,95.2,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,16988.0,ARE_ES0908_7_LTO_V_AOT40c_2021,No,ZON_ES0908,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,444963.0,COMARQUES DE GIRONA,10.451281988895754
Spain,Fixed measurement,Sampling Point,SP_08298008_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2021,22108.0,96.27,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,24494.0,ARE_ES0906_7_TV_V_AOT40c-5yr_2021,No,ZON_ES0906,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,159959.0,PLANA DE VIC,6.391679105946052
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2021,38.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,12.0,ARE_ES0513_5_LV_H_daysAbove_2021,No,ZON_ES0513,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323447.0,SUR DE TENERIFE,5.982071966864099
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2021,47.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,11.0,ARE_ES0510_5_LV_H_daysAbove_2021,No,ZON_ES0510,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323354.0,SUR DE GRAN CANARIA,7.398710776324175
Spain,Fixed measurement,Sampling Point,SP_25224999_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2021,19696.0,97.93,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,19696.0,ARE_ES0914_7_TV_V_AOT40c-5yr_2021,No,ZON_ES0914,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,22062.0,TERRES DE PONENT,4.752912753414075
Spain,Fixed measurement,Sampling Point,SP_10182001_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2021,18689.0,73.62,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,19186.0,ARE_ES1104_7_TV_V_AOT40c-5yr_2021,No,ZON_ES1104,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,617638.0,EXTREMADURA RURAL,6.012390437520712
Spain,Fixed measurement,Sampling Point,SP_03065006_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,11873.0,94.11,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,16579.0,ARE_ES1013_7_LTO_V_AOT40c_2021,No,ZON_ES1013,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,769752.0,SEGURA-VINALOPO. AREA COSTERA,11.648107226138972
Spain,Fixed measurement,Sampling Point,SP_07040003_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,13870.0,97.28,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,13870.0,ARE_ES0401_7_LTO_V_AOT40c_2021,No,ZON_ES0401,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,413353.0,PALMA,12.983062262210264
Spain,Fixed measurement,Sampling Point,SP_17013001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,20113.0,75.63,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,20113.0,ARE_ES0909_7_LTO_V_AOT40c_2021,No,ZON_ES0909,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,275949.0,EMPORDA,18.23856502480493
Spain,Fixed measurement,Sampling Point,SP_29067005_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2021,12198.0,95.74,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,21741.0,ARE_ES0119_7_LTO_V_AOT40c_2021,No,ZON_ES0119,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1306415.0,MALAGA Y COSTA DEL SOL,12.433992994704024
