Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,62.0,ARE_ES0511_5_LV_H_daysAbove_2022,No,ZON_ES0511,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,366573.0,STA. CRUZ DE TENERIFE-S. CRISTOBAL DE LA LAGUNA,7.1539206091280985
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,57.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,10.0,ARE_ES0504_5_LV_H_daysAbove_2022,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,8.860527144931572
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,44.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,5.0,ARE_ES0501_5_LV_H_daysAbove_2022,No,ZON_ES0501,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,378675.0,LAS PALMAS DE GRAN CANARIA,7.012678054281034
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,54.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,66.0,ARE_ES0513_5_LV_H_daysAbove_2022,No,ZON_ES0513,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323447.0,SUR DE TENERIFE,8.50083911080688
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,17.0,ARE_ES0511_5_LV_H_daysAbove_2022,No,ZON_ES0511,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,366573.0,STA. CRUZ DE TENERIFE-S. CRISTOBAL DE LA LAGUNA,7.1539206091280985
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,57.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,67.0,ARE_ES0504_5_LV_H_daysAbove_2022,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,8.860527144931572
Spain,Fixed measurement,Sampling Point,SP_07003004_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2022,19204.0,94.71,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,23588.0,ARE_ES0413_7_TV_V_AOT40c-5yr_2022,No,ZON_ES0413,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,468906.0,RESTO MALLORCA,6.0504184171739634
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,62.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,20.0,ARE_ES0510_5_LV_H_daysAbove_2022,No,ZON_ES0510,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323354.0,SUR DE GRAN CANARIA,9.760001449619125
Spain,Fixed measurement,Sampling Point,SP_28180001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2022,26826.0,97.74,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,26945.0,ARE_ES1313_7_LTO_V_AOT40c_2022,No,ZON_ES1313,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,49539.0,CUENCA DEL TAJU?A,20.991109090454852
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,54.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,16.0,ARE_ES0513_5_LV_H_daysAbove_2022,No,ZON_ES0513,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323447.0,SUR DE TENERIFE,8.50083911080688
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,17.0,ARE_ES0511_5_LV_H_daysAbove_2022,No,ZON_ES0511,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,366573.0,STA. CRUZ DE TENERIFE-S. CRISTOBAL DE LA LAGUNA,7.1539206091280985
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,42.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,15.0,ARE_ES0118_5_LV_H_daysAbove_2022,No,ZON_ES0118,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,507956.0,GRANADA Y AREA METROPOLITANA,6.846991313516754
Spain,Fixed measurement,Sampling Point,SP_04013005_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2022,18516.0,95.89,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,25288.0,ARE_ES0122_7_TV_V_AOT40c-5yr_2022,No,ZON_ES0122,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,622038.0,NUEVA ZONA DE NUCLEOS DE 50.000 A 250.000 HABITANTES,5.959906334609117
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,57.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,10.0,ARE_ES0504_5_LV_H_daysAbove_2022,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,8.860527144931572
Spain,Fixed measurement,Sampling Point,SP_23050004_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2022,25288.0,94.15,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,25288.0,ARE_ES0122_7_TV_V_AOT40c-5yr_2022,No,ZON_ES0122,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,622038.0,NUEVA ZONA DE NUCLEOS DE 50.000 A 250.000 HABITANTES,8.139669010023512
Spain,Fixed measurement,Sampling Point,SP_38008001_10_49,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2022,51.0,95.62,Aggregation calculated by the EEA based on reported time series,count,35.0,True,False,12.0,ARE_ES0508_5_LV_H_daysAbove_2022,No,ZON_ES0508,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,116412.0,"LA PALMA, LA GOMERA Y EL HIERRO",7.381882436636892
