Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Fixed measurement,Sampling Point,SP_10182001_1_38,SO2,Sulphur dioxide (air),winter-avg,Winter mean,2020,1.0,97.29,Aggregation calculated by the EEA based on reported time series,ug.m-3,20.0,False,False,1.3,ARE_ES1104_1_CL_V_wMean_2020,No,ZON_ES1104,Vegetation,Critical level (CL),Winter Mean,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,617638.0,EXTREMADURA RURAL,0.2895367003996276
Spain,Fixed random measurements,Sampling Point,SP_43047001_19_M,Pb in PM10,Lead in PM10 (aerosol),P1Y,Annual mean / 1 calendar year,2020,0.0,14.48,Aggregation calculated by the EEA based on reported time series,ug.m-3,0.5,False,False,0.0029,ARE_ES0904_5012_LV_H_aMean_2020,No,ZON_ES0904,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,461037.0,CAMP DE TARRAGONA,0.0
Spain,Fixed measurement,Sampling Point,SP_10182001_10_M,PM10,Particulate matter < 10 µm (aerosol),P1Y,Annual mean / 1 calendar year,2020,10.0,86.07,Aggregation calculated by the EEA based on reported time series,ug.m-3,40.0,False,False,15.0,ARE_ES1104_5_LV_H_aMean_2020,No,ZON_ES1104,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,617638.0,EXTREMADURA RURAL,1.447683501998138
Spain,Fixed measurement,Sampling Point,SP_15059002_8_8,NO2,Nitrogen dioxide (air),P1Y-hrsAbove200,1 year hour exceed 200,2020,0.0,86.15,Aggregation calculated by the EEA based on reported time series,count,18.0,False,False,0.0,ARE_ES1227_8_LV_H_hrsAbove_2020,No,ZON_ES1227,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1432558.0,"GALICIA RURAL CO, NOX, NO2",0.0
Spain,Fixed measurement,Sampling Point,SP_07032999_12_8,NOX as NO2,Nitrogen oxides (air),P1Y,Annual mean / 1 calendar year,2020,4.0,93.18,Aggregation calculated by the EEA based on reported time series,ug.m-3,30.0,False,False,3.5,ARE_ES0409_9_CL_V_aMean_2020,No,ZON_ES0409,Vegetation,Critical level (CL),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,40970.0,MENORCA-MAO-ES CASTELL,0.614995461860419
Spain,Fixed measurement,Sampling Point,SP_36024001_1_38,SO2,Sulphur dioxide (air),P1Y-daysAbove125,1 year day exceed 125,2020,0.0,97.81,Aggregation calculated by the EEA based on reported time series,count,3.0,False,False,0.0,ARE_ES1226_1_LV_H_daysAbove_2020,No,ZON_ES1226,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1367313.0,GALICIA RURAL SO2,0.0
Spain,Fixed measurement,Sampling Point,SP_08251003_8_8,NO2,Nitrogen dioxide (air),P1Y-hrsAbove200,1 year hour exceed 200,2020,0.0,92.73,Aggregation calculated by the EEA based on reported time series,count,18.0,False,False,0.0,ARE_ES0903_8_LV_H_hrsAbove_2020,No,ZON_ES0903,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,510614.0,PENEDES - GARRAF,0.0
Spain,Fixed measurement,Sampling Point,SP_30024002_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,3.0,66.67,Aggregation calculated by the EEA based on reported time series,count,25.0,False,False,3.0,ARE_ES1402_7_TV_H_daysAbove-3yr_2020,No,ZON_ES1402,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1.0,,0.0
Spain,Fixed measurement,Sampling Point,SP_19130001_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2020,0.0,92.34,Aggregation calculated by the EEA based on reported time series,count,24.0,False,False,0.0,ARE_ES0719_1_LV_H_hrsAbove_2020,No,ZON_ES0719,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,2033407.0,RESTO DE CASTILLA-LA MANCHA,0.0
Spain,Fixed measurement,Sampling Point,SP_47186022_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,17.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,False,False,17.0,ARE_ES0804_7_TV_H_daysAbove-3yr_2020,No,ZON_ES0804,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,366957.0,AGLOMERACION VALLADOLID,3.783938320109289
