Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,22.0,ARE_ES0513_5_LV_H_daysAbove_2023,No,ZON_ES0513,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323447.0,SUR DE TENERIFE,7.084032592339066
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,40.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,9.0,ARE_ES0504_5_LV_H_daysAbove_2023,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,6.217913785916893
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,45.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,57.0,ARE_ES0510_5_LV_H_daysAbove_2023,No,ZON_ES0510,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323354.0,SUR DE GRAN CANARIA,7.08387201988485
Spain,Fixed measurement,Sampling Point,SP_08137001_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2023,20654.0,96.92,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,20654.0,ARE_ES0908_7_TV_V_AOT40c-5yr_2023,No,ZON_ES0908,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,444963.0,COMARQUES DE GIRONA,6.481137879020384
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,43.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,58.0,ARE_ES0508_5_LV_H_daysAbove_2023,No,ZON_ES0508,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,116412.0,"LA PALMA, LA GOMERA Y EL HIERRO",6.223940093635027
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,40.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,45.0,ARE_ES0504_5_LV_H_daysAbove_2023,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,6.217913785916893
Spain,Fixed measurement,Sampling Point,SP_29067005_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2023,19067.0,93.66,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,19067.0,ARE_ES0119_7_TV_V_AOT40c-5yr_2023,No,ZON_ES0119,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1306415.0,MALAGA Y COSTA DEL SOL,6.478628858010101
Spain,Fixed measurement,Sampling Point,SP_08184006_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2023,12229.0,98.73,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,12229.0,ARE_ES0902_7_LTO_V_AOT40c_2023,No,ZON_ES0902,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1481781.0,VALLES-BAIX LLOBREGAT,12.577086300393747
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,43.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,16.0,ARE_ES0508_5_LV_H_daysAbove_2023,No,ZON_ES0508,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,116412.0,"LA PALMA, LA GOMERA Y EL HIERRO",6.223940093635027
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,40.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,9.0,ARE_ES0504_5_LV_H_daysAbove_2023,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,6.217913785916893
