Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Fixed measurement,Sampling Point,SP_11004006_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,98.15,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033009_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,95.22,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033005_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,96.52,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11022005_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,98.54,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11022007_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,99.01,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033010_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,89.45,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033004_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,92.73,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033007_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,96.92,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033008_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,98.31,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11033003_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,98.28,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
Spain,Fixed measurement,Sampling Point,SP_11008001_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2025,0.0,94.7,Aggregation calculated by the EEA based on reported time series,count,24.0,False,,,ARE_ES0104_1_LV_H_hrsAbove_2025,Yes,ZON_ES0104,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).,14/04/2026 22:28:00,247124,ZONA INDUSTRIAL DE BAHIA DE ALGECIRAS,0.0
